estado,fecha,hosp_gral,cama_venti,venti_uci
Baja California Sur,15/06/2021,44.55,38.88,0
Campeche,15/06/2021,5.02,7.4,14.7
Chiapas,15/06/2021,6.04,6.52,6.34
Chihuahua,15/06/2021,13.49,12.68,14.44
Ciudad de México,15/06/2021,21.85,13.22,12.24
Coahuila de Zaragoza,15/06/2021,12.4,8.16,60
Colima,15/06/2021,6.89,22.64,33.33
Durango,15/06/2021,32.63,7.04,26.66
Guanajuato,15/06/2021,3.94,1.22,8.92
Guerrero,15/06/2021,10.49,7.98,10.25
Hidalgo,15/06/2021,15.21,5.96,0
Jalisco,15/06/2021,13.06,5.41,12.85
México,15/06/2021,11.35,7.7,20.61
Michoacán de Ocampo,15/06/2021,11.4,9.6,6.25
Morelos,15/06/2021,5.41,1.96,0
Nayarit,15/06/2021,18.91,12.65,0
Nuevo León,15/06/2021,26.24,19.75,38.85
Oaxaca,15/06/2021,14.34,9.46,10.29
Puebla,15/06/2021,13,8.69,15.18
Querétaro,15/06/2021,3.49,3.44,27.27
Quintana Roo,15/06/2021,36.03,18.98,28.07
San Luis Potosí,15/06/2021,3.55,5.21,7.4
Sinaloa,15/06/2021,21.9,15.31,28.37
Sonora,15/06/2021,24.32,16.77,40.54
Tabasco,15/06/2021,25.56,33.68,35.29
Tamaulipas,15/06/2021,31.88,17.29,31.81
Tlaxcala,15/06/2021,2.01,8.33,0
Veracruz de Ignacio de la Llave,15/06/2021,16.81,9.55,16.66
Yucatán,15/06/2021,20.65,46.95,77.27
Zacatecas,15/06/2021,5.21,7.57,33.33
Aguascalientes,16/06/2021,18.33,8.52,25.8
Baja California,16/06/2021,13.38,13.59,9.3
Baja California Sur,16/06/2021,45.67,40.29,0
Campeche,16/06/2021,5.88,10.28,17.64
Chiapas,16/06/2021,7.1,6.25,6.34
Chihuahua,16/06/2021,14.34,12.31,10
Ciudad de México,16/06/2021,23.14,13.85,14.53
Coahuila de Zaragoza,16/06/2021,15.09,8.1,60
Colima,16/06/2021,8.65,19.6,33.33
Durango,16/06/2021,35.41,7.35,31.11
Guanajuato,16/06/2021,3.83,2.06,8.92
Guerrero,16/06/2021,9.44,8.14,10.25
Hidalgo,16/06/2021,16.27,6.8,0
Jalisco,16/06/2021,12.74,5.62,13.33
México,16/06/2021,13.31,6.38,19.46
Michoacán de Ocampo,16/06/2021,7.63,9.58,6.25
Morelos,16/06/2021,7.76,1.4,0
Nayarit,16/06/2021,20.9,13.58,0
Nuevo León,16/06/2021,28.03,17.9,35.69
Oaxaca,16/06/2021,13.72,12.19,11.94
Puebla,16/06/2021,11.18,7.8,10.52
Querétaro,16/06/2021,4,1.93,27.27
Quintana Roo,16/06/2021,37.5,20.55,31.34
San Luis Potosí,16/06/2021,3.59,5.68,7.27
Sinaloa,16/06/2021,23.09,16.29,28.94
Sonora,16/06/2021,26.31,19.31,31.81
Tabasco,16/06/2021,27.65,36.7,34.14
Tamaulipas,16/06/2021,32.5,19.84,33.69
Tlaxcala,16/06/2021,2.68,9.17,0
Veracruz de Ignacio de la Llave,16/06/2021,18.58,9,20.2
Yucatán,16/06/2021,24.19,45.73,80
Zacatecas,16/06/2021,2.58,6.81,33.33
Aguascalientes,17/06/2021,21.95,7.25,22.58
Baja California,17/06/2021,16.46,15.3,21.73
Baja California Sur,17/06/2021,57.4,42.21,0
Campeche,17/06/2021,9.76,11,18.75
Chiapas,17/06/2021,5.34,7.52,6.25
Chihuahua,17/06/2021,12.25,11.04,9.67
Ciudad de México,17/06/2021,24.07,13.98,13.84
Coahuila de Zaragoza,17/06/2021,14.7,7.54,33.33
Colima,17/06/2021,9.47,20,33.33
Durango,17/06/2021,26.58,20,33.96
Guanajuato,17/06/2021,4.17,1.91,8.92
Guerrero,17/06/2021,8.09,4.95,5.12
Hidalgo,17/06/2021,16.08,11.4,0
Jalisco,17/06/2021,12.71,7.39,13.17
México,17/06/2021,12.81,6.35,19.64
Michoacán de Ocampo,17/06/2021,5.84,9.73,8.33
Morelos,17/06/2021,9.38,1.75,0
Nayarit,17/06/2021,26.85,9.09,0
Nuevo León,17/06/2021,31.41,17.64,40.15
Oaxaca,17/06/2021,13.75,10.71,3.5
Puebla,17/06/2021,11,6.96,29.57
Querétaro,17/06/2021,3.96,1.96,31.81
Quintana Roo,17/06/2021,39.36,20.08,32.78
San Luis Potosí,17/06/2021,5.4,6.14,12
Sinaloa,17/06/2021,25.05,16.66,23.07
Sonora,17/06/2021,21.13,17.71,28.57
Tabasco,17/06/2021,25.91,34.71,35.8
Tamaulipas,17/06/2021,34.23,17.47,37.89
Tlaxcala,17/06/2021,1.35,8.25,0
Veracruz de Ignacio de la Llave,17/06/2021,17.65,8.49,18.39
Yucatán,17/06/2021,22.86,48.46,80.95
Zacatecas,17/06/2021,2.54,6.01,27.77
Aguascalientes,18/06/2021,15.83,10.23,9.67
Baja California,18/06/2021,16.5,13.85,11.62
