"","Estado","fecha","hosp_gral","cama_venti","venti_uci"
"216","San Luis Potosí",2021-06-07,3.79,4.06,7.4
"217","Sinaloa",2021-06-07,14.87,13.91,26.41
"218","Sonora",2021-06-07,14.72,12.07,20.4
"219","Tabasco",2021-06-07,25.7,32.24,33.33
"220","Tamaulipas",2021-06-07,21.29,17.69,30.76
"221","Tlaxcala",2021-06-07,6.04,8.49,0
"222","Veracruz de Ignacio de La Llave",2021-06-07,14.28,9.09,17.27
"223","Yucatán",2021-06-07,17.44,37.72,76.92
"224","Zacatecas",2021-06-07,7.69,6.1,33.33
"225","Aguascalientes",2021-06-08,13.21,10.62,20.75
"226","Baja California",2021-06-08,13.07,21.1,10
"227","Baja California Sur",2021-06-08,33.9,24.59,0
"228","Campeche",2021-06-08,6.68,9.17,12.5
"229","Chiapas",2021-06-08,4.22,5.42,7.93
"230","Chihuahua",2021-06-08,15.85,13.79,17.74
"231","Ciudad de México",2021-06-08,15.2,11.13,12.55
"232","Coahuila de Zaragoza",2021-06-08,10,7.43,37.5
"233","Colima",2021-06-08,17.64,16.66,5.55
"234","Durango",2021-06-08,22.22,10.84,16.66
"235","Guanajuato",2021-06-08,4.79,1.46,6.25
"236","Guerrero",2021-06-08,11.67,8.55,10
"237","Hidalgo",2021-06-08,16.71,5.06,0
"238","Jalisco",2021-06-08,12.41,6.29,11.79
"239","México",2021-06-08,8.59,10.37,12.5
"240","Michoacán de Ocampo",2021-06-08,7.76,4.87,0
"241","Morelos",2021-06-08,10.62,7.51,23.02
"242","Nayarit",2021-06-08,23.36,16.66,0
"243","Nuevo León",2021-06-08,17.53,13.98,21.28
"244","Oaxaca",2021-06-08,13.16,7.5,14.06
"245","Puebla",2021-06-08,10.64,10.22,16.66
"246","Querétaro",2021-06-08,6.18,6.56,50
"247","Quintana Roo",2021-06-08,35.73,17.07,33.82
"248","San Luis Potosí",2021-06-08,5.39,3.6,5.55
"249","Sinaloa",2021-06-08,17.11,14,25.67
"250","Sonora",2021-06-08,19.55,15.02,28.57
"251","Tabasco",2021-06-08,21.21,35.4,36.66
"252","Tamaulipas",2021-06-08,22.79,16.07,26.5
"253","Tlaxcala",2021-06-08,4.82,7.27,0
"254","Veracruz de Ignacio de La Llave",2021-06-08,15.84,9.55,16.66
"255","Yucatán",2021-06-08,19.43,41.5,77.77
"256","Zacatecas",2021-06-08,8.19,5.97,30
"257","Aguascalientes",2021-06-09,12.06,9.93,19.23
"258","Baja California",2021-06-09,15.86,15.77,11.62
"259","Baja California Sur",2021-06-09,34.13,28.04,0
"260","Campeche",2021-06-09,7.79,10.81,15.15
"261","Chiapas",2021-06-09,3.89,6.44,7.93
"262","Chihuahua",2021-06-09,15.19,10.05,11.11
"263","Ciudad de México",2021-06-09,17.24,11.72,13.36
"264","Coahuila de Zaragoza",2021-06-09,10.57,5.97,12
"265","Colima",2021-06-09,17.94,17.8,5.55
"266","Durango",2021-06-09,30.23,10,23.4
"267","Guanajuato",2021-06-09,4.15,1.5,7.27
"268","Guerrero",2021-06-09,11.22,8.07,7.77
"269","Hidalgo",2021-06-09,15.1,6.12,9.09
"270","Jalisco",2021-06-09,12.18,7.09,12.62
"271","México",2021-06-09,8.28,11.02,12.5
"272","Michoacán de Ocampo",2021-06-09,7.31,4,0
"273","Morelos",2021-06-09,10.7,8.01,25.71
"274","Nayarit",2021-06-09,18.26,15.58,0
"275","Nuevo León",2021-06-09,25.16,20.26,36.52
"276","Oaxaca",2021-06-09,16.66,6.49,12.9
"277","Puebla",2021-06-09,10.89,9.67,12.65
"278","Querétaro",2021-06-09,4.53,6.61,50
"279","Quintana Roo",2021-06-09,34.97,19.1,32.83
"280","San Luis Potosí",2021-06-09,3.23,4.02,7.27
"281","Sinaloa",2021-06-09,16.58,14.16,27.53
"282","Sonora",2021-06-09,19.57,12.29,27.27
"283","Tabasco",2021-06-09,25.62,35.6,33.76
"284","Tamaulipas",2021-06-09,28.31,15.56,26.5
"285","Tlaxcala",2021-06-09,5.29,7.54,0
"286","Veracruz de Ignacio de La Llave",2021-06-09,17.72,8.21,17.75
"287","Yucatán",2021-06-09,18.95,44.78,75
"288","Zacatecas",2021-06-09,4.95,6.66,30
"289","Aguascalientes",2021-06-10,13.48,8.91,19.23
"290","Baja California",2021-06-10,13.2,15.8,4.65
"291","Baja California Sur",2021-06-10,36.47,28.49,0
"292","Campeche",2021-06-10,6.82,7.4,12.5
"293","Chiapas",2021-06-10,3.87,6.41,7.93
"294","Chihuahua",2021-06-10,14.31,11.82,10
"295","Ciudad de México",2021-06-10,15.52,13.07,12.25
"296","Coahuila de Zaragoza",2021-06-10,11.11,5.83,8
"297","Colima",2021-06-10,13.79,18.91,5.55
"298","Durango",2021-06-10,29.41,8.86,25
"299","Guanajuato",2021-06-10,3.74,1.05,1.78
"300","Guerrero",2021-06-10,9.89,10.24,10
"301","Hidalgo",2021-06-10,12.73,6.57,0
"302","Jalisco",2021-06-10,13.5,6.13,10.84
"303","México",2021-06-10,9.17,10.48,12.5
"304","Michoacán de Ocampo",2021-06-10,6.56,5.26,0
"305","Morelos",2021-06-10,12.71,9.03,27.13
"306","Nayarit",2021-06-10,18.01,14.47,0
"307","Nuevo León",2021-06-10,24.79,19.96,35.86
"308","Oaxaca",2021-06-10,14.97,7.74,15
"309","Puebla",2021-06-10,9.12,9.59,16.21
"310","Querétaro",2021-06-10,4.82,6.56,54.54
"311","Quintana Roo",2021-06-10,35.91,17.28,34.78
"312","San Luis Potosí",2021-06-10,3.49,4.52,12.28
"313","Sinaloa",2021-06-10,18.69,12.59,22.97
"314","Sonora",2021-06-10,20.91,12.9,29.54
"315","Tabasco",2021-06-10,26.19,38.55,37.7
"316","Tamaulipas",2021-06-10,28.11,16.66,29.11
"317","Tlaxcala",2021-06-10,4.02,8.49,100
"318","Veracruz de Ignacio de La Llave",2021-06-10,18.6,8.68,21.97
"319","Yucatán",2021-06-10,20.11,42.5,73.91
"320","Zacatecas",2021-06-10,4.44,6.61,30
"321","Aguascalientes",2021-06-11,13.48,8.91,19.23
"322","Baja California",2021-06-11,13.2,15.8,4.65
"323","Baja California Sur",2021-06-11,36.47,28.49,0
"324","Campeche",2021-06-11,6.82,7.4,12.5
"325","Chiapas",2021-06-11,3.87,6.41,7.93
"326","Chihuahua",2021-06-11,14.31,11.82,10
"327","Ciudad de México",2021-06-11,15.52,13.07,12.25
"328","Coahuila de Zaragoza",2021-06-11,11.11,5.83,8
"329","Colima",2021-06-11,13.79,18.91,5.55
"330","Durango",2021-06-11,29.41,8.86,25
"331","Guanajuato",2021-06-11,3.74,1.05,1.78
"332","Guerrero",2021-06-11,9.89,10.24,10
"333","Hidalgo",2021-06-11,12.73,6.57,0
"334","Jalisco",2021-06-11,13.5,6.13,10.84
"335","México",2021-06-11,9.17,10.48,12.5
"336","Michoacán de Ocampo",2021-06-11,6.56,5.26,0
"337","Morelos",2021-06-11,12.71,9.03,27.13
"338","Nayarit",2021-06-11,18.01,14.47,0
"339","Nuevo León",2021-06-11,24.79,19.96,35.86
"340","Oaxaca",2021-06-11,14.97,7.74,15
"341","Puebla",2021-06-11,9.12,9.59,16.21
"342","Querétaro",2021-06-11,4.82,6.56,54.54
"343","Quintana Roo",2021-06-11,35.91,17.28,34.78
"344","San Luis Potosí",2021-06-11,3.49,4.52,12.28
"345","Sinaloa",2021-06-11,18.69,12.59,22.97
"346","Sonora",2021-06-11,20.91,12.9,29.54
"347","Tabasco",2021-06-11,26.19,38.55,37.7
"348","Tamaulipas",2021-06-11,28.11,16.66,29.11
"349","Tlaxcala",2021-06-11,4.02,8.49,100
"350","Veracruz de Ignacio de La Llave",2021-06-11,18.6,8.68,21.97
"351","Yucatán",2021-06-11,20.11,42.5,73.91
"352","Zacatecas",2021-06-11,4.44,6.61,30
"353","Aguascalientes",2021-06-12,10.81,11.61,15.09
"354","Baja California",2021-06-12,8.73,12.32,7.69
"355","Baja California Sur",2021-06-12,46.66,32.29,0
"356","Campeche",2021-06-12,13.43,15.49,35.29
"357","Chiapas",2021-06-12,4.39,6.48,6.34
"358","Chihuahua",2021-06-12,12.23,15.46,14.63
"359","Ciudad de México",2021-06-12,16.7,10.76,8.63
"360","Coahuila de Zaragoza",2021-06-12,13.59,5.21,40
"361","Colima",2021-06-12,7.52,19.23,0
"362","Durango",2021-06-12,25.88,5.06,21.73
"363","Guanajuato",2021-06-12,4.64,1.04,5.63
"364","Guerrero",2021-06-12,7.73,10.29,7.89
"365","Hidalgo",2021-06-12,12.38,5.92,0
"366","Jalisco",2021-06-12,12.94,4.8,10.32
"367","México",2021-06-12,9.19,9.91,12.5
"368","Michoacán de Ocampo",2021-06-12,5.91,3.2,0
"369","Morelos",2021-06-12,11.17,7.97,24.42
"370","Nayarit",2021-06-12,17.69,16.88,0
"371","Nuevo León",2021-06-12,26.41,19.96,32.96
"372","Oaxaca",2021-06-12,12.27,10.95,6
"373","Puebla",2021-06-12,10.43,10.83,14.75
"374","Querétaro",2021-06-12,4.55,3.86,31.81
"375","Quintana Roo",2021-06-12,37.32,23.01,42.55
"376","San Luis Potosí",2021-06-12,3.33,3.5,5.55
"377","Sinaloa",2021-06-12,19.9,14.7,28.37
"378","Sonora",2021-06-12,25.08,16.47,32.43
"379","Tabasco",2021-06-12,24.35,27.31,30.68
"380","Tamaulipas",2021-06-12,29.57,17.06,41.07
"381","Tlaxcala",2021-06-12,2.66,8.57,0
"382","Veracruz de Ignacio de La Llave",2021-06-12,18.41,8.48,15.68
"383","Yucatán",2021-06-12,20,43.75,78.26
"384","Zacatecas",2021-06-12,7.69,8.14,33.33
"385","Aguascalientes",2021-06-13,12.08,9.09,15.09
"386","Baja California",2021-06-13,9.84,11.26,0
"387","Baja California Sur",2021-06-13,76.13,71.79,0
"388","Campeche",2021-06-13,8.92,8.03,12.5
"389","Chiapas",2021-06-13,4.7,6.46,6.34
"390","Chihuahua",2021-06-13,10.09,7.33,6.89
"391","Ciudad de México",2021-06-13,18.48,11.63,12.5
"392","Coahuila de Zaragoza",2021-06-13,14,6.14,40
"393","Colima",2021-06-13,6.59,20.75,0
"394","Durango",2021-06-13,33.33,5.4,26.66
"395","Guanajuato",2021-06-13,4.51,1.35,7.14
"396","Guerrero",2021-06-13,9.47,11.11,10.52
"397","Hidalgo",2021-06-13,12.05,4.6,0
"398","Jalisco",2021-06-13,13.29,4.85,12.2
"399","México",2021-06-13,11.23,10.72,12.5
"400","Michoacán de Ocampo",2021-06-13,6.99,3.15,0
"401","Morelos",2021-06-13,11.96,7.27,26.47
"402","Nayarit",2021-06-13,22.8,16.21,0
"403","Nuevo León",2021-06-13,24.28,20.65,37.46
"404","Oaxaca",2021-06-13,12.76,7.53,9.09
"405","Puebla",2021-06-13,13.29,9.73,18.51
"406","Querétaro",2021-06-13,3.76,3.44,22.72
"407","Quintana Roo",2021-06-13,36.64,23.2,41.3
"408","San Luis Potosí",2021-06-13,3.33,2.91,6.25
"409","Sinaloa",2021-06-13,23.13,17.15,30.43
"410","Sonora",2021-06-13,25.64,17,42.85
"411","Tabasco",2021-06-13,26.02,28.21,32.14
"412","Tamaulipas",2021-06-13,32.89,13.58,21.23
"413","Tlaxcala",2021-06-13,2.66,9.34,0
"414","Veracruz de Ignacio de La Llave",2021-06-13,15.66,7.9,14.95
"415","Yucatán",2021-06-13,20.8,46.62,78.26
"416","Zacatecas",2021-06-13,5.08,7.51,33.33
"417","Aguascalientes",2021-06-14,12.08,9.09,15.09
"418","Baja California",2021-06-14,9.84,11.26,0
"419","Baja California Sur",2021-06-14,76.13,71.79,0
"420","Campeche",2021-06-14,8.92,8.03,12.5
"421","Chiapas",2021-06-14,4.7,6.46,6.34
"422","Chihuahua",2021-06-14,10.09,7.33,6.89
"423","Ciudad de México",2021-06-14,18.48,11.63,12.5
"424","Coahuila de Zaragoza",2021-06-14,14,6.14,40
"425","Colima",2021-06-14,6.59,20.75,0
"426","Durango",2021-06-14,33.33,5.4,26.66
"427","Guanajuato",2021-06-14,4.51,1.35,7.14
"428","Guerrero",2021-06-14,9.47,11.11,10.52
"429","Hidalgo",2021-06-14,12.05,4.6,0
"430","Jalisco",2021-06-14,13.29,4.85,12.2
"431","México",2021-06-14,11.96,7.27,26.47
"432","Michoacán de Ocampo",2021-06-14,11.23,10.72,12.5
"433","Morelos",2021-06-14,6.99,3.15,0
"434","Nayarit",2021-06-14,22.8,16.21,0
"435","Nuevo León",2021-06-14,24.28,20.65,37.46
"436","Oaxaca",2021-06-14,12.76,7.53,9.09
"437","Puebla",2021-06-14,13.29,9.73,18.51
"438","Querétaro",2021-06-14,3.76,3.44,22.72
"439","Quintana Roo",2021-06-14,36.64,23.2,41.3
"440","San Luis Potosí",2021-06-14,3.33,2.91,6.25
"441","Sinaloa",2021-06-14,23.13,17.15,30.43
"442","Sonora",2021-06-14,25.64,17,42.85
"443","Tabasco",2021-06-14,26.02,28.21,32.14
"444","Tamaulipas",2021-06-14,32.89,13.58,21.23
"445","Tlaxcala",2021-06-14,2.66,9.34,0
"446","Veracruz de Ignacio de La Llave",2021-06-14,15.66,7.9,14.95
"447","Yucatán",2021-06-14,20.8,46.62,78.26
"448","Zacatecas",2021-06-14,5.08,7.51,33.33
"449","Aguascalientes",2021-06-15,12.24,9.21,15.68
"450","Baja California",2021-06-15,14.76,15.4,9.3
"451","Baja California Sur",2021-06-15,44.55,38.88,0
"452","Campeche",2021-06-15,5.02,7.4,14.7
"453","Chiapas",2021-06-15,6.04,6.52,6.34
"454","Chihuahua",2021-06-15,13.49,12.68,14.44
"455","Ciudad de México",2021-06-15,21.85,13.22,12.24
"456","Coahuila de Zaragoza",2021-06-15,12.4,8.16,60
"457","Colima",2021-06-15,6.89,22.64,33.33
"458","Durango",2021-06-15,32.63,7.04,26.66
"459","Guanajuato",2021-06-15,3.94,1.22,8.92
"460","Guerrero",2021-06-15,10.49,7.98,10.25
"461","Hidalgo",2021-06-15,15.21,5.96,0
"462","Jalisco",2021-06-15,13.06,5.41,12.85
"463","México",2021-06-15,11.35,7.7,20.61
"464","Michoacán de Ocampo",2021-06-15,11.4,9.6,6.25
"465","Morelos",2021-06-15,5.41,1.96,0
"466","Nayarit",2021-06-15,18.91,12.65,0
"467","Nuevo León",2021-06-15,26.24,19.75,38.85
"468","Oaxaca",2021-06-15,14.34,9.46,10.29
"469","Puebla",2021-06-15,13,8.69,15.18
"470","Querétaro",2021-06-15,3.49,3.44,27.27
"471","Quintana Roo",2021-06-15,36.03,18.98,28.07
"472","San Luis Potosí",2021-06-15,3.55,5.21,7.4
"473","Sinaloa",2021-06-15,21.9,15.31,28.37
"474","Sonora",2021-06-15,24.32,16.77,40.54
"475","Tabasco",2021-06-15,25.56,33.68,35.29
"476","Tamaulipas",2021-06-15,31.88,17.29,31.81
"477","Tlaxcala",2021-06-15,2.01,8.33,0
"478","Veracruz de Ignacio de La Llave",2021-06-15,16.81,9.55,16.66
"479","Yucatán",2021-06-15,20.65,46.95,77.27
"480","Zacatecas",2021-06-15,5.21,7.57,33.33
"481","Aguascalientes",2021-06-16,18.33,8.52,25.8
"482","Baja California",2021-06-16,13.38,13.59,9.3
"483","Baja California Sur",2021-06-16,45.67,40.29,0
"484","Campeche",2021-06-16,5.88,10.28,17.64
"485","Chiapas",2021-06-16,7.1,6.25,6.34
"486","Chihuahua",2021-06-16,14.34,12.31,10
"487","Ciudad de México",2021-06-16,23.14,13.85,14.53
"488","Coahuila de Zaragoza",2021-06-16,15.09,8.1,60
